Age,Height,Weight,Team,Year,Host_City,Event,GDP_adjustedPPP_Value,Cereal_yield_kg_per_hectare_Value,Military_expenditure_Value,Tax_revenue,Expense,Central_government_debt,Avg_Temp,Representing_Host,Medal_Binary
31.0,189.0,130.0,Finland,2000,Sydney,Athletics Men's Shot Put,138478455508.05,3498.7,1558135249.67754,33612944073.44804,47005702311.107574,80643230133.43272,1.7,N,0
30.0,187.0,76.0,France,2012,London,"Athletics Men's 1,500 metres",2474003939353.38,7254.5,60035153810.7707,561165982274.095,1189301291837.8616,1392711050916.0544,10.7,N,0
22.0,189.0,80.0,France,1976,Montreal,Athletics Men's Pole Vault,1026359782091.95,3440.8,13304260892.605,193366081697.45312,346555179961.181,684416454028.8142,10.7,N,0
26.0,170.0,65.0,Spain,2016,Rio de Janeiro,"Athletics Men's 5,000 metres",1706683528932.57,3430.3,14014439635.1839,236468870660.42044,336020820525.1822,1776906973515.4277,13.3,N,0
22.0,182.0,67.0,Spain,1980,Moskva,"Athletics Men's 1,500 metres",529657688852.408,2479.9,5508356432.6108,84259870851.92809,130873603409.63283,5974874214960.335,13.3,N,0
26.0,182.0,67.0,Spain,1984,Los Angeles,"Athletics Men's 1,500 metres",529657688852.408,2772.1,4851949869.22903,84259870851.92809,130873603409.63283,4458556756990.49,13.3,N,1
27.0,190.0,80.0,Italy,2012,London,Athletics Men's 110 metres Hurdles,2157547299764.22,5315.1,33732753946.4521,509866516166.9103,910165554189.9431,1676846295728.1265,13.45,N,0
18.0,168.0,60.0,Nicaragua,2004,Athina,Athletics Men's 100 metres,16725290659.0307,1798.1,32628065.155736305,2038508393.9182508,2161521023.009742,9418492822.539394,24.9,N,0
16.0,180.0,70.0,Nicaragua,1976,Montreal,Athletics Men's High Jump,8016955958.98988,1030.2,25234878.4843544,2105720612.3685136,5229229244.399977,5346016733.404563,24.9,N,0
26.0,177.03880070546737,72.56675508399647,Chad,1972,Munich,Athletics Men's 100 metres,4274296585.36667,482.6,39363259.9077325,670024667.0754765,973453116.2708617,2956671418.046538,26.55,N,0
